,InflPC1_rollstd_d1,InflPC2_rollstd_d1
2004-01-05,,
2004-01-06,,
2004-01-07,,
2004-01-08,,
2004-01-09,,
2004-01-12,,
2004-01-14,,
2004-01-15,,
2004-01-16,,
2004-01-19,,
2004-01-20,,
2004-01-21,,
2004-01-22,,
2004-01-23,,
2004-01-26,,
2004-01-27,,
2004-01-28,,
2004-01-29,,
2004-01-30,,
2004-02-02,,
2004-02-03,,
2004-02-04,0.0038932347818471332,0.00545428128114747
2004-02-05,0.0039559473131470365,0.005691944344474802
2004-02-06,0.004149961084183413,0.005897249957289035
2004-02-09,0.0041561019256280895,0.006057663020418214
2004-02-10,0.004177950344266647,0.006254272432344499
2004-02-11,0.0038341795127880387,0.0062543448035677395
2004-02-12,0.0038322463569483273,0.006240761302504524
2004-02-13,0.004010812189045819,0.0064236270696222085
2004-02-16,0.004244620913286093,0.005922549271243759
2004-02-17,0.004246896249967458,0.005822128826444825
2004-02-18,0.004244973956546,0.005821847063473374
2004-02-19,0.004170550660838649,0.00553377301797377
2004-02-20,0.004749313475511357,0.008732025639496072
2004-02-25,0.0054421857444188855,0.00878077438092743
2004-02-26,0.005404463309891693,0.008184881523001716
2004-02-27,0.005535229596076957,0.008361543421111308
2004-03-01,0.0056538669176966535,0.008361358105865597
2004-03-02,0.005657597398110115,0.008358791980285045
2004-03-03,0.005661270289243382,0.008356194409170604
2004-03-04,0.005970026634515584,0.00836383241947404
2004-03-05,0.005503326629978872,0.007567776687454546
2004-03-08,0.0053697625917755445,0.00756289582971272
2004-03-09,0.005330952499433118,0.007485432992840976
2004-03-10,0.006584635168809202,0.00776863359926927
2004-03-11,0.008296719989686539,0.010990021714454679
2004-03-12,0.008377615779633111,0.01119852845748155
2004-03-15,0.009685001534527003,0.011808004009630764
2004-03-16,0.009689137682781252,0.011806849240928233
2004-03-17,0.013151163127430534,0.012208075251665736
2004-03-18,0.013752966844915924,0.012620233980219248
2004-03-19,0.013752296580871966,0.012612531511373056
2004-03-22,0.014825967118143437,0.01318092029845594
2004-03-23,0.014827311114050291,0.013176993232464622
2004-03-24,0.01464049256680829,0.011584621113176832
2004-03-25,0.014404292631112505,0.011555278584360387
2004-03-26,0.014404623161411058,0.01155487726934614
2004-03-29,0.014402512607014506,0.011430126728570331
2004-03-30,0.014354452404281692,0.011430187409854254
2004-03-31,0.014354898112903433,0.011429735823167437
2004-04-01,0.01522498320068421,0.012149673144652219
2004-04-02,0.014973016508434396,0.012141884299055309
2004-04-05,0.015031008385551561,0.012131974769126372
2004-04-06,0.01493880629059073,0.012140374211398127
2004-04-07,0.017895498125048596,0.012573729631895042
2004-04-08,0.017621210729680238,0.012189102112743143
2004-04-12,0.016565693373836798,0.009368932783217262
2004-04-13,0.016845755995446438,0.010182818115498433
2004-04-14,0.015740051663687648,0.010333683190243304
2004-04-15,0.01573258172183556,0.0103373080007299
2004-04-16,0.01406946248422589,0.013912354037531379
2004-04-19,0.014174518356896443,0.014860612985457128
2004-04-20,0.014169170075104157,0.014871317792982149
2004-04-22,0.012678136215965136,0.014577476124687598
2004-04-23,0.012648755734246647,0.014594038023609679
2004-04-26,0.023256320528661525,0.01878540607927989
2004-04-27,0.023419196034775002,0.018914743764901307
2004-04-28,0.023415099031047073,0.018912304553574358
2004-04-29,0.023331883396313813,0.018934473378393758
2004-04-30,0.023327455258986333,0.018931758984636164
2004-05-03,0.07000240779262104,0.05444318231608684
2004-05-04,0.07017942336130882,0.054489493840039524
2004-05-05,0.070178770076257,0.05449034026682047
2004-05-06,0.07007774495911803,0.05452023500711955
2004-05-07,0.07033955922925898,0.05448078429946174
2004-05-10,0.07013287794056855,0.05420272916046604
2004-05-11,0.07013432873908935,0.05420925615518616
2004-05-12,0.07053836591779362,0.05384061684367268
2004-05-13,0.07027202771530618,0.05400669855587824
2004-05-14,0.07023781407328891,0.05383588510909096
2004-05-17,0.07073409362558412,0.05421367745725395
2004-05-18,0.07049262370393274,0.052672044428243935
2004-05-19,0.07060121694169157,0.052851810404443256
2004-05-20,0.07055313935728834,0.053352867037983254
2004-05-21,0.07073477247359262,0.05472233250417867
2004-05-24,0.07055756758595334,0.05489145284713199
2004-05-25,0.07027938315102054,0.054470880291607224
