,RealPC1_rollstd_d1
2012-09-19,
2012-09-20,
2012-09-21,
2012-09-24,
2012-09-25,
2012-09-26,
2012-09-27,
2012-09-28,
2012-10-01,
2012-10-02,
2012-10-03,
2012-10-04,
2012-10-05,
2012-10-08,
2012-10-09,
2012-10-10,
2012-10-11,
2012-10-15,
2012-10-16,
2012-10-17,
2012-10-18,
2012-10-19,0.04076674444608641
2012-10-22,0.04031786238476042
2012-10-23,0.040280244579352434
2012-10-24,0.04071618288955786
2012-10-25,0.04229722756565543
2012-10-26,0.04213814348922579
2012-10-29,0.042138751031346074
2012-10-30,0.042116509046938914
2012-10-31,0.04200839605089387
2012-11-01,0.04195427883636441
2012-11-05,0.04184461517222849
2012-11-06,0.041722657520126896
2012-11-07,0.016039976782961086
2012-11-08,0.015154632985853641
2012-11-09,0.015159514255388957
2012-11-12,0.015043836888576783
2012-11-13,0.014483705408591912
2012-11-14,0.016104669818436772
2012-11-16,0.016882072913415855
2012-11-19,0.01795129937117152
2012-11-20,0.017999683424665607
2012-11-21,0.017841294602564565
2012-11-22,0.01786264923579644
2012-11-23,0.018179537263787255
2012-11-26,0.01870224519606994
2012-11-27,0.02180092418317542
2012-11-28,0.02179439421651892
2012-11-29,0.02259404967006719
2012-11-30,0.026566476543123628
2012-12-03,0.026634061971297352
2012-12-04,0.02846970760604545
2012-12-05,0.028517813896092
2012-12-06,0.03256600505558258
2012-12-07,0.03392556300366197
2012-12-10,0.03435150482820856
2012-12-11,0.03536613888634334
2012-12-12,0.03498856715443288
2012-12-13,0.034787324044942676
2012-12-14,0.03244353790790629
2012-12-17,0.032450199522636794
2012-12-18,0.03362714449684322
2012-12-19,0.032578140403245595
2012-12-20,0.03242179912236775
2012-12-21,0.032863103102442164
2012-12-24,0.0331291328497718
2012-12-26,0.033146966670248044
2012-12-27,0.03186140703034492
2012-12-28,0.032242569140483936
2012-12-31,0.03219958463973481
2013-01-02,0.029347337682289285
2013-01-03,0.03006424298445828
2013-01-04,0.02803069676603692
2013-01-07,0.028038853345326922
2013-01-08,0.02121270500791052
2013-01-09,0.02032282809931819
2013-01-10,0.021042788064760586
2013-01-11,0.01967279883018205
2013-01-14,0.020110097568847782
2013-01-15,0.019879081612839057
2013-01-16,0.01946598945882189
2013-01-17,0.020331905355333066
2013-01-18,0.020567014279126335
2013-01-21,0.02004666861414404
2013-01-22,0.023816787106290625
2013-01-23,0.02432886512186393
2013-01-24,0.0486085276861284
2013-01-25,0.04831900474224927
2013-01-28,0.04826868886329558
2013-01-29,0.04833693678123417
2013-01-30,0.04838770698339656
2013-01-31,0.04807034615282554
2013-02-01,0.046534955072079436
2013-02-04,0.04657292413668528
2013-02-05,0.04655635455516876
2013-02-06,0.04664841744030006
2013-02-07,0.04614333416674803
2013-02-08,0.04461718061119257
2013-02-13,0.04469271283325259
2013-02-14,0.044814768514760905
2013-02-15,0.04485696998203159
2013-02-18,0.04496487719330109
2013-02-19,0.04492033099100931
2013-02-20,0.044898017366057454
2013-02-21,0.04463282699293682
2013-02-22,0.04310365119492763
2013-02-25,0.04269116170523202
2013-02-26,0.001150965581085151
2013-02-27,0.001151562064636399
2013-02-28,0.0
2013-03-01,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-22,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,0.0
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-12,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-02,0.20117027154375194
2013-05-03,0.20094078213828617
2013-05-06,0.20120535636222253
2013-05-07,0.20157751989714223
2013-05-08,0.20158678296603869
2013-05-09,0.20138587579976008
2013-05-10,0.20114689542236672
2013-05-13,0.20129396061221394
2013-05-14,0.20108638469968868
2013-05-15,0.20152267765105694
2013-05-16,0.20129066489300554
2013-05-17,0.20099325659435754
2013-05-20,0.20071158820754176
2013-05-21,0.20082625021092554
2013-05-22,0.20064184949953576
2013-05-23,0.20050336829258322
2013-05-24,0.2001921625724008
2013-05-27,0.200054919983813
2013-05-28,0.19974455453569406
2013-05-29,0.20097005688525071
2013-05-31,0.20965125372284735
2013-06-03,0.07641798026912118
2013-06-04,0.07799275030589765
2013-06-05,0.07735750266731295
2013-06-06,0.07696903366080148
2013-06-07,0.07663266748795275
2013-06-10,0.07864084265212061
2013-06-11,0.07853331846248207
2013-06-12,0.07954474112717183
2013-06-13,0.08852915344166784
2013-06-14,0.08800613493134848
2013-06-17,0.09126560372019323
2013-06-18,0.09775664760327457
2013-06-19,0.09976145936861716
2013-06-20,0.09861159814783166
2013-06-21,0.10405632822266722
2013-06-24,0.12694627027541322
2013-06-25,0.13308710334198653
2013-06-26,0.1335686486890181
2013-06-27,0.13632980256992117
2013-06-28,0.13533773478934638
2013-07-01,0.11639733877283195
2013-07-02,0.11744425987450981
2013-07-03,0.11685655595335111
2013-07-04,0.1181065336698867
2013-07-05,0.11757144282008697
2013-07-08,0.11816154119250195
2013-07-09,0.11581224471817583
2013-07-10,0.1156197102282429
2013-07-11,0.1129260609461417
2013-07-12,0.10882534884786849
2013-07-15,0.10747462960323205
2013-07-16,0.10170651022404503
2013-07-17,0.08922772392959546
2013-07-18,0.0806888015191748
2013-07-19,0.07866656012131489
2013-07-22,0.07771404502554227
2013-07-23,0.05365031287169391
2013-07-24,0.045964865427202184
2013-07-25,0.04636692492951398
2013-07-26,0.04260212409273115
2013-07-29,0.04079837552030378
2013-07-30,0.0451190290115584
2013-07-31,0.04372891939606285
2013-08-01,0.04925877638743605
2013-08-02,0.0467898978117419
2013-08-05,0.046128063981027166
2013-08-06,0.045573476052732154
2013-08-07,0.04631568167758999
2013-08-08,0.04579214440052989
2013-08-09,0.046260249531825365
2013-08-12,0.054280433479462445
2013-08-13,0.05760837732069071
2013-08-14,0.06027109485684577
2013-08-15,0.059705744554401696
2013-08-16,0.06031502430660749
2013-08-19,0.06175618383326688
2013-08-20,0.0695949847325923
2013-08-21,0.06805991146169653
2013-08-22,0.06824071372772222
2013-08-23,0.08228625441618373
2013-08-26,0.08266730925460983
2013-08-27,0.08215874397514328
2013-08-28,0.08063815272315118
2013-08-29,0.0846172864351747
2013-08-30,0.08190925258911189
2013-09-02,0.08061433333446333
2013-09-03,0.0802027465715279
2013-09-04,0.08027723150533499
2013-09-05,0.07935487708445979
2013-09-06,0.07949228426693729
2013-09-09,0.07858565457061999
2013-09-10,0.07478861919108988
2013-09-11,0.07238607800411206
2013-09-12,0.07072390566839568
2013-09-13,0.07077198381641937
2013-09-16,0.06957992057217663
2013-09-17,0.06542366509127344
2013-09-18,0.06558431128858713
2013-09-19,0.0652076672679341
2013-09-20,0.06521010833351665
2013-09-23,0.05027851146434608
2013-09-24,0.049212981765498265
2013-09-25,0.04929497290219355
2013-09-26,0.049107895216478945
2013-09-27,0.03992174005191741
2013-09-30,0.039902571791673294
2013-10-01,0.041890908854256455
2013-10-02,0.04170693983696673
2013-10-03,0.04631572417536177
2013-10-04,0.046241962890352824
2013-10-07,0.04583992202723269
2013-10-08,0.04583080206508639
2013-10-09,0.046254436823055356
2013-10-10,0.05425357627524967
2013-10-11,0.053184712984334255
2013-10-14,0.05331512398080717
2013-10-15,0.05324327694755438
2013-10-16,0.05314579687956224
2013-10-17,0.04257385940101254
2013-10-18,0.04184784949702783
2013-10-21,0.04173371666419779
2013-10-22,0.0429758792350591
2013-10-23,0.04366767025236704
2013-10-24,0.043806929047019764
2013-10-25,0.04370754408070408
2013-10-28,0.04370497321257412
2013-10-29,0.04370719350632282
2013-10-30,0.042246513750815125
2013-10-31,0.04294464219311081
2013-11-01,0.03873243427545365
2013-11-04,0.038416390614124385
2013-11-05,0.03731258635090248
2013-11-06,0.036996531986533646
2013-11-07,0.04093011229484945
2013-11-08,0.03542935483455266
2013-11-11,0.035642440062021705
2013-11-12,0.03842132423800289
2013-11-13,0.04180493224138417
