model_id,origin_week_ref,target_week_ref,horizon_steps,state_name,state_pred
dl,2021-03-19,2021-04-16,4,beta1_level,5.949594060907984
dl,2021-03-19,2021-04-16,4,beta2_slope,-2.2700201592632663
dl,2021-03-19,2021-04-16,4,beta3_curvature,14.39036006832204
dl,2021-03-19,2021-06-18,13,beta1_level,7.17366112937544
dl,2021-03-19,2021-06-18,13,beta2_slope,-3.1613017686120806
dl,2021-03-19,2021-06-18,13,beta3_curvature,12.540505943370318
dl,2021-03-19,2021-09-17,26,beta1_level,8.16169822205592
dl,2021-03-19,2021-09-17,26,beta2_slope,-3.883230808658308
dl,2021-03-19,2021-09-17,26,beta3_curvature,10.549935343735747
dl,2021-03-19,2022-03-18,52,beta1_level,8.726570357399408
dl,2021-03-19,2022-03-18,52,beta2_slope,-4.073190645641496
dl,2021-03-19,2022-03-18,52,beta3_curvature,8.734832136646343
dl,2021-03-26,2021-04-23,4,beta1_level,6.675686487245635
dl,2021-03-26,2021-04-23,4,beta2_slope,-2.9564100836228446
dl,2021-03-26,2021-04-23,4,beta3_curvature,14.600945734104792
dl,2021-03-26,2021-06-25,13,beta1_level,7.674511941647597
dl,2021-03-26,2021-06-25,13,beta2_slope,-3.5796513193873847
dl,2021-03-26,2021-06-25,13,beta3_curvature,12.536335182154875
dl,2021-03-26,2021-09-24,26,beta1_level,8.457007824223176
dl,2021-03-26,2021-09-24,26,beta2_slope,-4.028576152591858
dl,2021-03-26,2021-09-24,26,beta3_curvature,10.466625869714019
dl,2021-03-26,2022-03-25,52,beta1_level,8.899552380362381
dl,2021-03-26,2022-03-25,52,beta2_slope,-4.049497419618526
dl,2021-03-26,2022-03-25,52,beta3_curvature,8.600830778697395
dl,2021-04-02,2021-04-30,4,beta1_level,6.930210561660022
dl,2021-04-02,2021-04-30,4,beta2_slope,-3.5174897285065203
dl,2021-04-02,2021-04-30,4,beta3_curvature,14.105259854084546
dl,2021-04-02,2021-07-02,13,beta1_level,7.794393763360247
dl,2021-04-02,2021-07-02,13,beta2_slope,-4.1016395137231525
dl,2021-04-02,2021-07-02,13,beta3_curvature,12.233185178927421
dl,2021-04-02,2021-10-01,26,beta1_level,8.39528469140827
dl,2021-04-02,2021-10-01,26,beta2_slope,-4.41078181819148
dl,2021-04-02,2021-10-01,26,beta3_curvature,10.459085506112498
dl,2021-04-02,2022-04-01,52,beta1_level,8.728436616272303
dl,2021-04-02,2022-04-01,52,beta2_slope,-4.379440089515913
dl,2021-04-02,2022-04-01,52,beta3_curvature,8.88326276528498
dl,2021-04-09,2021-05-07,4,beta1_level,7.614402917684714
dl,2021-04-09,2021-05-07,4,beta2_slope,-4.061978092553186
dl,2021-04-09,2021-05-07,4,beta3_curvature,13.609946994419731
dl,2021-04-09,2021-07-09,13,beta1_level,8.22577578328049
dl,2021-04-09,2021-07-09,13,beta2_slope,-4.368394455206058
dl,2021-04-09,2021-07-09,13,beta3_curvature,11.764799441937388
dl,2021-04-09,2021-10-08,26,beta1_level,8.64580610371049
dl,2021-04-09,2021-10-08,26,beta2_slope,-4.471244644066811
dl,2021-04-09,2021-10-08,26,beta3_curvature,10.095140170133254
dl,2021-04-09,2022-04-08,52,beta1_level,8.877059521900188
dl,2021-04-09,2022-04-08,52,beta2_slope,-4.328665121071904
dl,2021-04-09,2022-04-08,52,beta3_curvature,8.62032043517312
dl,2021-04-16,2021-05-14,4,beta1_level,7.842340065098092
dl,2021-04-16,2021-05-14,4,beta2_slope,-4.287563425249539
dl,2021-04-16,2021-05-14,4,beta3_curvature,11.948288469762044
dl,2021-04-16,2021-07-16,13,beta1_level,8.280495124799193
dl,2021-04-16,2021-07-16,13,beta2_slope,-4.515021176463846
dl,2021-04-16,2021-07-16,13,beta3_curvature,10.688356758955901
dl,2021-04-16,2021-10-15,26,beta1_level,8.58203306395611
dl,2021-04-16,2021-10-15,26,beta2_slope,-4.592042752295402
dl,2021-04-16,2021-10-15,26,beta3_curvature,9.548237251350347
dl,2021-04-16,2022-04-15,52,beta1_level,8.754686021767592
dl,2021-04-16,2022-04-15,52,beta2_slope,-4.487142271843204
dl,2021-04-16,2022-04-15,52,beta3_curvature,8.540558422359657
dl,2021-04-23,2021-05-21,4,beta1_level,8.146591005959412
dl,2021-04-23,2021-05-21,4,beta2_slope,-4.438541814199609
dl,2021-04-23,2021-05-21,4,beta3_curvature,10.462072097533097
dl,2021-04-23,2021-07-23,13,beta1_level,8.412851105168272
dl,2021-04-23,2021-07-23,13,beta2_slope,-4.5492947533008
dl,2021-04-23,2021-07-23,13,beta3_curvature,9.67318322360159
dl,2021-04-23,2021-10-22,26,beta1_level,8.613255103926937
dl,2021-04-23,2021-10-22,26,beta2_slope,-4.590669639616767
dl,2021-04-23,2021-10-22,26,beta3_curvature,8.95812476493315
dl,2021-04-23,2022-04-22,52,beta1_level,8.739411665057924
dl,2021-04-23,2022-04-22,52,beta2_slope,-4.5059677299803855
dl,2021-04-23,2022-04-22,52,beta3_curvature,8.310112255386796
dl,2021-04-30,2021-05-28,4,beta1_level,8.028890526013043
dl,2021-04-30,2021-05-28,4,beta2_slope,-4.180251483385909
dl,2021-04-30,2021-05-28,4,beta3_curvature,10.621861682293694
dl,2021-04-30,2021-07-30,13,beta1_level,8.380908655129662
dl,2021-04-30,2021-07-30,13,beta2_slope,-4.358712702820393
dl,2021-04-30,2021-07-30,13,beta3_curvature,9.772277900968108
dl,2021-04-30,2021-10-29,26,beta1_level,8.638740225817411
dl,2021-04-30,2021-10-29,26,beta2_slope,-4.446477672439496
dl,2021-04-30,2021-10-29,26,beta3_curvature,8.959986269106288
dl,2021-04-30,2022-04-29,52,beta1_level,8.797514665237303
dl,2021-04-30,2022-04-29,52,beta2_slope,-4.378191919152931
dl,2021-04-30,2022-04-29,52,beta3_curvature,8.223442117204273
dl,2021-05-07,2021-06-04,4,beta1_level,7.945105129324833
dl,2021-05-07,2021-06-04,4,beta2_slope,-3.6991252686062306
dl,2021-05-07,2021-06-04,4,beta3_curvature,11.35386919928745
dl,2021-05-07,2021-08-06,13,beta1_level,8.430961942928889
dl,2021-05-07,2021-08-06,13,beta2_slope,-3.923772297421115
dl,2021-05-07,2021-08-06,13,beta3_curvature,10.140141557073466
dl,2021-05-07,2021-11-05,26,beta1_level,8.806538351808765
dl,2021-05-07,2021-11-05,26,beta2_slope,-4.066838678685733
dl,2021-05-07,2021-11-05,26,beta3_curvature,8.973239459476186
dl,2021-05-07,2022-05-06,52,beta1_level,9.031472080492268
dl,2021-05-07,2022-05-06,52,beta2_slope,-3.9968626954512794
dl,2021-05-07,2022-05-06,52,beta3_curvature,7.916124614526501
dl,2021-05-14,2021-06-11,4,beta1_level,7.826852949657592
dl,2021-05-14,2021-06-11,4,beta2_slope,-3.365899194339652
dl,2021-05-14,2021-06-11,4,beta3_curvature,11.696287722845387
dl,2021-05-14,2021-08-13,13,beta1_level,8.405442468750202
dl,2021-05-14,2021-08-13,13,beta2_slope,-3.654904104912975
dl,2021-05-14,2021-08-13,13,beta3_curvature,10.32792891017357
dl,2021-05-14,2021-11-12,26,beta1_level,8.86083050374422
dl,2021-05-14,2021-11-12,26,beta2_slope,-3.8558327203417035
dl,2021-05-14,2021-11-12,26,beta3_curvature,8.991934374120753
dl,2021-05-14,2022-05-13,52,beta1_level,9.1302851827638
dl,2021-05-14,2022-05-13,52,beta2_slope,-3.804525720806311
dl,2021-05-14,2022-05-13,52,beta3_curvature,7.780057654314357
dl,2021-05-21,2021-06-18,4,beta1_level,8.56375304801904
dl,2021-05-21,2021-06-18,4,beta2_slope,-3.932393854813278
dl,2021-05-21,2021-06-18,4,beta3_curvature,9.738304414698648
dl,2021-05-21,2021-08-20,13,beta1_level,8.786776883794118
dl,2021-05-21,2021-08-20,13,beta2_slope,-3.929331467920363
dl,2021-05-21,2021-08-20,13,beta3_curvature,8.972122519280381
dl,2021-05-21,2021-11-19,26,beta1_level,9.00547172666763
dl,2021-05-21,2021-11-19,26,beta2_slope,-3.961726602188252
dl,2021-05-21,2021-11-19,26,beta3_curvature,8.195262786743518
dl,2021-05-21,2022-05-20,52,beta1_level,9.149749895238674
dl,2021-05-21,2022-05-20,52,beta2_slope,-3.864962055036904
dl,2021-05-21,2022-05-20,52,beta3_curvature,7.476438209629606
dl,2021-05-28,2021-06-25,4,beta1_level,9.041951947654455
dl,2021-05-28,2021-06-25,4,beta2_slope,-4.150383922754203
dl,2021-05-28,2021-06-25,4,beta3_curvature,7.236171377478419
dl,2021-05-28,2021-08-27,13,beta1_level,8.985945271784129
dl,2021-05-28,2021-08-27,13,beta2_slope,-3.979791559777135
dl,2021-05-28,2021-08-27,13,beta3_curvature,7.317033384433981
dl,2021-05-28,2021-11-26,26,beta1_level,9.040697591824763
dl,2021-05-28,2021-11-26,26,beta2_slope,-3.968659725648301
dl,2021-05-28,2021-11-26,26,beta3_curvature,7.26628321500513
dl,2021-05-28,2022-05-27,52,beta1_level,9.110672420533977
dl,2021-05-28,2022-05-27,52,beta2_slope,-3.913399258911341
dl,2021-05-28,2022-05-27,52,beta3_curvature,7.15275820860895
dl,2021-06-04,2021-07-02,4,beta1_level,8.916026516913625
dl,2021-06-04,2021-07-02,4,beta2_slope,-3.798929955630298
dl,2021-06-04,2021-07-02,4,beta3_curvature,6.532785058428296
dl,2021-06-04,2021-09-03,13,beta1_level,8.919185528033076
dl,2021-06-04,2021-09-03,13,beta2_slope,-3.738203816994376
dl,2021-06-04,2021-09-03,13,beta3_curvature,6.8422374665029935
dl,2021-06-04,2021-12-03,26,beta1_level,9.017733398208406
dl,2021-06-04,2021-12-03,26,beta2_slope,-3.8208151549387526
dl,2021-06-04,2021-12-03,26,beta3_curvature,6.971256929766405
dl,2021-06-04,2022-06-03,52,beta1_level,9.116963896710697
dl,2021-06-04,2022-06-03,52,beta2_slope,-3.8329098114198077
dl,2021-06-04,2022-06-03,52,beta3_curvature,6.994542759124352
dl,2021-06-11,2021-07-09,4,beta1_level,9.136909399463443
dl,2021-06-11,2021-07-09,4,beta2_slope,-3.7081575741012878
dl,2021-06-11,2021-07-09,4,beta3_curvature,6.8185360847262615
dl,2021-06-11,2021-09-10,13,beta1_level,9.140915554749157
dl,2021-06-11,2021-09-10,13,beta2_slope,-3.585242867898693
dl,2021-06-11,2021-09-10,13,beta3_curvature,6.8872662570956775
dl,2021-06-11,2021-12-10,26,beta1_level,9.228992739935379
dl,2021-06-11,2021-12-10,26,beta2_slope,-3.61487310704733
dl,2021-06-11,2021-12-10,26,beta3_curvature,6.824663056577157
dl,2021-06-11,2022-06-10,52,beta1_level,9.31598438805298
dl,2021-06-11,2022-06-10,52,beta2_slope,-3.5858323946106885
dl,2021-06-11,2022-06-10,52,beta3_curvature,6.700547373545684
dl,2021-06-18,2021-07-16,4,beta1_level,7.834709470886873
dl,2021-06-18,2021-07-16,4,beta2_slope,-2.1195060994921824
dl,2021-06-18,2021-07-16,4,beta3_curvature,9.403096088197664
dl,2021-06-18,2021-09-17,13,beta1_level,8.536016205936237
dl,2021-06-18,2021-09-17,13,beta2_slope,-2.6251050510820466
dl,2021-06-18,2021-09-17,13,beta3_curvature,8.556046007612574
dl,2021-06-18,2021-12-17,26,beta1_level,9.108848079488334
dl,2021-06-18,2021-12-17,26,beta2_slope,-3.065287785568043
dl,2021-06-18,2021-12-17,26,beta3_curvature,7.612654100245798
dl,2021-06-18,2022-06-17,52,beta1_level,9.44564903808066
dl,2021-06-18,2022-06-17,52,beta2_slope,-3.1913507774628167
dl,2021-06-18,2022-06-17,52,beta3_curvature,6.731673617016268
dl,2021-06-25,2021-07-23,4,beta1_level,9.190752899248544
dl,2021-06-25,2021-07-23,4,beta2_slope,-3.12002964880177
dl,2021-06-25,2021-07-23,4,beta3_curvature,5.935431713997501
dl,2021-06-25,2021-09-24,13,beta1_level,9.21452140925867
dl,2021-06-25,2021-09-24,13,beta2_slope,-3.0466631092892307
dl,2021-06-25,2021-09-24,13,beta3_curvature,6.175087596912617
dl,2021-06-25,2021-12-24,26,beta1_level,9.36621545149898
dl,2021-06-25,2021-12-24,26,beta2_slope,-3.1926630770780076
dl,2021-06-25,2021-12-24,26,beta3_curvature,6.249903526836945
dl,2021-06-25,2022-06-24,52,beta1_level,9.48850541352126
dl,2021-06-25,2022-06-24,52,beta2_slope,-3.2460230222930155
dl,2021-06-25,2022-06-24,52,beta3_curvature,6.229419153908429
dl,2021-07-02,2021-07-30,4,beta1_level,9.147051404802173
dl,2021-07-02,2021-07-30,4,beta2_slope,-3.3206766600324418
dl,2021-07-02,2021-07-30,4,beta3_curvature,5.314741736621114
dl,2021-07-02,2021-10-01,13,beta1_level,9.143823208930256
dl,2021-07-02,2021-10-01,13,beta2_slope,-3.330144246934834
dl,2021-07-02,2021-10-01,13,beta3_curvature,5.91661487057435
dl,2021-07-02,2021-12-31,26,beta1_level,9.225574734192907
dl,2021-07-02,2021-12-31,26,beta2_slope,-3.4474649211349186
dl,2021-07-02,2021-12-31,26,beta3_curvature,6.256885523992652
dl,2021-07-02,2022-07-01,52,beta1_level,9.315701339605907
dl,2021-07-02,2022-07-01,52,beta2_slope,-3.4963565014851063
dl,2021-07-02,2022-07-01,52,beta3_curvature,6.455991532063964
dl,2021-07-09,2021-08-06,4,beta1_level,9.225045642019898
dl,2021-07-09,2021-08-06,4,beta2_slope,-3.0600971416699414
dl,2021-07-09,2021-08-06,4,beta3_curvature,5.646876262511608
dl,2021-07-09,2021-10-08,13,beta1_level,9.278120401245088
dl,2021-07-09,2021-10-08,13,beta2_slope,-3.076457980868259
dl,2021-07-09,2021-10-08,13,beta3_curvature,5.965672224732059
dl,2021-07-09,2022-01-07,26,beta1_level,9.393022882813169
dl,2021-07-09,2022-01-07,26,beta2_slope,-3.198708118871944
dl,2021-07-09,2022-01-07,26,beta3_curvature,6.121000872809846
dl,2021-07-09,2022-07-08,52,beta1_level,9.494456048976186
dl,2021-07-09,2022-07-08,52,beta2_slope,-3.243910227968638
dl,2021-07-09,2022-07-08,52,beta3_curvature,6.174562948180043
dl,2021-07-16,2021-08-13,4,beta1_level,9.370034542208328
dl,2021-07-16,2021-08-13,4,beta2_slope,-3.19642784748546
dl,2021-07-16,2021-08-13,4,beta3_curvature,5.044358705949238
dl,2021-07-16,2021-10-15,13,beta1_level,9.334980065800067
dl,2021-07-16,2021-10-15,13,beta2_slope,-3.168938192020334
dl,2021-07-16,2021-10-15,13,beta3_curvature,5.556091118565547
dl,2021-07-16,2022-01-14,26,beta1_level,9.386393214430186
dl,2021-07-16,2022-01-14,26,beta2_slope,-3.2601529783991037
dl,2021-07-16,2022-01-14,26,beta3_curvature,5.9252502728886425
dl,2021-07-16,2022-07-15,52,beta1_level,9.457255246858855
dl,2021-07-16,2022-07-15,52,beta2_slope,-3.303100991830475
dl,2021-07-16,2022-07-15,52,beta3_curvature,6.154877280663623
dl,2021-07-23,2021-08-20,4,beta1_level,9.414155204433396
dl,2021-07-23,2021-08-20,4,beta2_slope,-2.9096961879452983
dl,2021-07-23,2021-08-20,4,beta3_curvature,4.703256985644865
dl,2021-07-23,2021-10-22,13,beta1_level,9.402774602418088
dl,2021-07-23,2021-10-22,13,beta2_slope,-2.9004232219191253
dl,2021-07-23,2021-10-22,13,beta3_curvature,5.290594607881207
dl,2021-07-23,2022-01-21,26,beta1_level,9.486037862497076
dl,2021-07-23,2022-01-21,26,beta2_slope,-3.037260639481609
dl,2021-07-23,2022-01-21,26,beta3_curvature,5.665866656553957
dl,2021-07-23,2022-07-22,52,beta1_level,9.572313273265308
dl,2021-07-23,2022-07-22,52,beta2_slope,-3.1134589789026936
dl,2021-07-23,2022-07-22,52,beta3_curvature,5.899719051520616
dl,2021-07-30,2021-08-27,4,beta1_level,9.299257286380401
dl,2021-07-30,2021-08-27,4,beta2_slope,-2.342022381773463
dl,2021-07-30,2021-08-27,4,beta3_curvature,5.45694907100229
dl,2021-07-30,2021-10-29,13,beta1_level,9.451759135508956
dl,2021-07-30,2021-10-29,13,beta2_slope,-2.409585342241056
dl,2021-07-30,2021-10-29,13,beta3_curvature,5.656573392325461
dl,2021-07-30,2022-01-28,26,beta1_level,9.667531590335381
dl,2021-07-30,2022-01-28,26,beta2_slope,-2.6366501531060735
dl,2021-07-30,2022-01-28,26,beta3_curvature,5.642048008131792
dl,2021-07-30,2022-07-29,52,beta1_level,9.81098877938884
dl,2021-07-30,2022-07-29,52,beta2_slope,-2.746242917701008
dl,2021-07-30,2022-07-29,52,beta3_curvature,5.563192271896192
dl,2021-08-06,2021-09-03,4,beta1_level,9.751087390456032
dl,2021-08-06,2021-09-03,4,beta2_slope,-2.427111002275551
dl,2021-08-06,2021-09-03,4,beta3_curvature,5.259586258185846
dl,2021-08-06,2021-11-05,13,beta1_level,9.779474313752882
dl,2021-08-06,2021-11-05,13,beta2_slope,-2.3215455788909147
dl,2021-08-06,2021-11-05,13,beta3_curvature,5.381310172627402
dl,2021-08-06,2022-02-04,26,beta1_level,9.915706398931782
dl,2021-08-06,2022-02-04,26,beta2_slope,-2.4499833091952152
dl,2021-08-06,2022-02-04,26,beta3_curvature,5.313228011242817
dl,2021-08-06,2022-08-05,52,beta1_level,10.005608834513273
dl,2021-08-06,2022-08-05,52,beta2_slope,-2.514604835131396
dl,2021-08-06,2022-08-05,52,beta3_curvature,5.214336690092031
dl,2021-08-13,2021-09-10,4,beta1_level,10.206676693870595
dl,2021-08-13,2021-09-10,4,beta2_slope,-2.8174321179551973
dl,2021-08-13,2021-09-10,4,beta3_curvature,5.281915305583127
dl,2021-08-13,2021-11-12,13,beta1_level,10.082303691964615
dl,2021-08-13,2021-11-12,13,beta2_slope,-2.5408258535545234
dl,2021-08-13,2021-11-12,13,beta3_curvature,5.309479446528291
dl,2021-08-13,2022-02-11,26,beta1_level,10.08304111960288
dl,2021-08-13,2022-02-11,26,beta2_slope,-2.4996596012548453
dl,2021-08-13,2022-02-11,26,beta3_curvature,5.201817427133166
dl,2021-08-13,2022-08-12,52,beta1_level,10.091068394838523
dl,2021-08-13,2022-08-12,52,beta2_slope,-2.4702480336930757
dl,2021-08-13,2022-08-12,52,beta3_curvature,5.098984703644167
dl,2021-08-20,2021-09-17,4,beta1_level,11.01402921216484
dl,2021-08-20,2021-09-17,4,beta2_slope,-3.6312823310230837
dl,2021-08-20,2021-09-17,4,beta3_curvature,4.42830602468657
dl,2021-08-20,2021-11-19,13,beta1_level,10.537159554794801
dl,2021-08-20,2021-11-19,13,beta2_slope,-3.022216501317123
dl,2021-08-20,2021-11-19,13,beta3_curvature,4.661802482743102
dl,2021-08-20,2022-02-18,26,beta1_level,10.262276318371587
dl,2021-08-20,2022-02-18,26,beta2_slope,-2.7027714275944748
dl,2021-08-20,2022-02-18,26,beta3_curvature,4.83346316286659
dl,2021-08-20,2022-08-19,52,beta1_level,10.121000353537546
dl,2021-08-20,2022-08-19,52,beta2_slope,-2.5420759841371474
dl,2021-08-20,2022-08-19,52,beta3_curvature,4.990267209389959
dl,2021-08-27,2021-09-24,4,beta1_level,10.311808942074197
dl,2021-08-27,2021-09-24,4,beta2_slope,-2.6526572142372107
dl,2021-08-27,2021-09-24,4,beta3_curvature,4.397265188823518
dl,2021-08-27,2021-11-26,13,beta1_level,10.15943401925691
dl,2021-08-27,2021-11-26,13,beta2_slope,-2.421300369201636
dl,2021-08-27,2021-11-26,13,beta3_curvature,4.664182639116354
dl,2021-08-27,2022-02-25,26,beta1_level,10.128720240087745
dl,2021-08-27,2022-02-25,26,beta2_slope,-2.4031935509760602
dl,2021-08-27,2022-02-25,26,beta3_curvature,4.8136541732029885
dl,2021-08-27,2022-08-26,52,beta1_level,10.122979515311282
dl,2021-08-27,2022-08-26,52,beta2_slope,-2.409803127441185
dl,2021-08-27,2022-08-26,52,beta3_curvature,4.921340317134504
dl,2021-09-03,2021-10-01,4,beta1_level,9.214249023989325
dl,2021-09-03,2021-10-01,4,beta2_slope,-1.7146314187230591
dl,2021-09-03,2021-10-01,4,beta3_curvature,7.5298973692038915
dl,2021-09-03,2021-12-03,13,beta1_level,9.674020365655004
dl,2021-09-03,2021-12-03,13,beta2_slope,-2.0279372730117133
dl,2021-09-03,2021-12-03,13,beta3_curvature,6.698949191410092
dl,2021-09-03,2022-03-04,26,beta1_level,10.000469925246122
dl,2021-09-03,2022-03-04,26,beta2_slope,-2.2462956913642436
dl,2021-09-03,2022-03-04,26,beta3_curvature,5.8763046568505874
