model_id,origin_week_ref,target_week_ref,horizon_steps,tau_years,yield_col,yield_pred,yield_obs,error,abs_error
dl,2021-03-19,2021-04-16,4,1.0,bbg_bz_bond_1y,5.5625040237026395,5.3046,0.25790402370263976,0.25790402370263976
dl,2021-03-19,2021-04-16,4,3.0,bbg_bz_bond_3y,7.820790386127206,7.8501,-0.02930961387279396,0.02930961387279396
dl,2021-03-19,2021-04-16,4,5.0,bbg_bz_bond_5y,8.84651735963257,8.7965,0.05001735963256948,0.05001735963256948
dl,2021-03-19,2021-04-16,4,10.0,bbg_bz_bond_10y,9.180812341863309,9.6775,-0.49668765813669147,0.49668765813669147
dl,2021-03-19,2021-06-18,13,1.0,bbg_bz_bond_1y,5.7975218476068875,6.6549,-0.8573781523931121,0.8573781523931121
dl,2021-03-19,2021-06-18,13,3.0,bbg_bz_bond_3y,7.989245562002591,8.3809,-0.39165443799740984,0.39165443799740984
dl,2021-03-19,2021-06-18,13,5.0,bbg_bz_bond_5y,9.043913245201027,8.9693,0.07461324520102686,0.07461324520102686
dl,2021-03-19,2021-06-18,13,10.0,bbg_bz_bond_10y,9.575853054404964,9.5204,0.055453054404964064,0.055453054404964064
dl,2021-03-19,2021-09-17,26,1.0,bbg_bz_bond_1y,5.929504184663557,8.8144,-2.884895815336442,2.884895815336442
dl,2021-03-19,2021-09-17,26,3.0,bbg_bz_bond_3y,8.00475378865502,10.2192,-2.214446211344981,2.214446211344981
dl,2021-03-19,2021-09-17,26,5.0,bbg_bz_bond_5y,9.05833192804473,10.7168,-1.6584680719552694,1.6584680719552694
dl,2021-03-19,2021-09-17,26,10.0,bbg_bz_bond_10y,9.754719083417863,11.4713,-1.7165809165821369,1.7165809165821369
dl,2021-03-19,2022-03-18,52,1.0,bbg_bz_bond_1y,6.125000054955442,12.961,-6.835999945044558,6.835999945044558
dl,2021-03-19,2022-03-18,52,3.0,bbg_bz_bond_3y,8.005475659919624,12.0902,-4.084724340080376,4.084724340080376
dl,2021-03-19,2022-03-18,52,5.0,bbg_bz_bond_5y,8.994408369445837,11.9459,-2.9514916305541625,2.9514916305541625
dl,2021-03-19,2022-03-18,52,10.0,bbg_bz_bond_10y,9.745497148480354,12.2648,-2.5193028515196456,2.5193028515196456
dl,2021-03-26,2021-04-23,4,1.0,bbg_bz_bond_1y,5.709416191537393,5.2785,0.4309161915373929,0.4309161915373929
