model_id,origin_week_ref,target_week_ref,horizon_steps,tau_years,yield_col,yield_pred,yield_obs,error,abs_error
rw_yield,2021-03-19,2021-04-16,4,1.0,bbg_bz_bond_1y,5.0915,5.3046,-0.21309999999999985,0.21309999999999985
rw_yield,2021-03-19,2021-04-16,4,3.0,bbg_bz_bond_3y,7.5868,7.8501,-0.2633000000000001,0.2633000000000001
rw_yield,2021-03-19,2021-04-16,4,5.0,bbg_bz_bond_5y,8.3471,8.7965,-0.4494000000000007,0.4494000000000007
rw_yield,2021-03-19,2021-04-16,4,10.0,bbg_bz_bond_10y,8.9224,9.6775,-0.7551000000000005,0.7551000000000005
rw_yield,2021-03-19,2021-06-18,13,1.0,bbg_bz_bond_1y,5.0915,6.6549,-1.5633999999999997,1.5633999999999997
rw_yield,2021-03-19,2021-06-18,13,3.0,bbg_bz_bond_3y,7.5868,8.3809,-0.7941000000000003,0.7941000000000003
rw_yield,2021-03-19,2021-06-18,13,5.0,bbg_bz_bond_5y,8.3471,8.9693,-0.6222000000000012,0.6222000000000012
rw_yield,2021-03-19,2021-06-18,13,10.0,bbg_bz_bond_10y,8.9224,9.5204,-0.5980000000000008,0.5980000000000008
rw_yield,2021-03-19,2021-09-17,26,1.0,bbg_bz_bond_1y,5.0915,8.8144,-3.722899999999999,3.722899999999999
rw_yield,2021-03-19,2021-09-17,26,3.0,bbg_bz_bond_3y,7.5868,10.2192,-2.6324000000000005,2.6324000000000005
rw_yield,2021-03-19,2021-09-17,26,5.0,bbg_bz_bond_5y,8.3471,10.7168,-2.3697,2.3697
rw_yield,2021-03-19,2021-09-17,26,10.0,bbg_bz_bond_10y,8.9224,11.4713,-2.5488999999999997,2.5488999999999997
rw_yield,2021-03-19,2022-03-18,52,1.0,bbg_bz_bond_1y,5.0915,12.961,-7.8695,7.8695
rw_yield,2021-03-19,2022-03-18,52,3.0,bbg_bz_bond_3y,7.5868,12.0902,-4.503399999999999,4.503399999999999
rw_yield,2021-03-19,2022-03-18,52,5.0,bbg_bz_bond_5y,8.3471,11.9459,-3.5988000000000007,3.5988000000000007
rw_yield,2021-03-19,2022-03-18,52,10.0,bbg_bz_bond_10y,8.9224,12.2648,-3.3423999999999996,3.3423999999999996
rw_yield,2021-03-26,2021-04-23,4,1.0,bbg_bz_bond_1y,5.3187,5.2785,0.04019999999999957,0.04019999999999957
rw_yield,2021-03-26,2021-04-23,4,3.0,bbg_bz_bond_3y,8.0199,7.6157,0.40419999999999945,0.40419999999999945
rw_yield,2021-03-26,2021-04-23,4,5.0,bbg_bz_bond_5y,8.8793,8.511,0.3683000000000014,0.3683000000000014
rw_yield,2021-03-26,2021-04-23,4,10.0,bbg_bz_bond_10y,9.5395,9.4581,0.08140000000000036,0.08140000000000036
rw_yield,2021-03-26,2021-06-25,13,1.0,bbg_bz_bond_1y,5.3187,6.7281,-1.4094000000000007,1.4094000000000007
rw_yield,2021-03-26,2021-06-25,13,3.0,bbg_bz_bond_3y,8.0199,8.1686,-0.14869999999999983,0.14869999999999983
rw_yield,2021-03-26,2021-06-25,13,5.0,bbg_bz_bond_5y,8.8793,8.6541,0.22520000000000095,0.22520000000000095
rw_yield,2021-03-26,2021-06-25,13,10.0,bbg_bz_bond_10y,9.5395,9.5186,0.02090000000000103,0.02090000000000103
rw_yield,2021-03-26,2021-09-24,26,1.0,bbg_bz_bond_1y,5.3187,8.7812,-3.4625000000000004,3.4625000000000004
rw_yield,2021-03-26,2021-09-24,26,3.0,bbg_bz_bond_3y,8.0199,10.0703,-2.0504,2.0504
rw_yield,2021-03-26,2021-09-24,26,5.0,bbg_bz_bond_5y,8.8793,10.5364,-1.6570999999999998,1.6570999999999998
rw_yield,2021-03-26,2021-09-24,26,10.0,bbg_bz_bond_10y,9.5395,11.3273,-1.787799999999999,1.787799999999999
rw_yield,2021-03-26,2022-03-25,52,1.0,bbg_bz_bond_1y,5.3187,12.7389,-7.4201999999999995,7.4201999999999995
rw_yield,2021-03-26,2022-03-25,52,3.0,bbg_bz_bond_3y,8.0199,11.4976,-3.4777000000000005,3.4777000000000005
rw_yield,2021-03-26,2022-03-25,52,5.0,bbg_bz_bond_5y,8.8793,11.4405,-2.5611999999999995,2.5611999999999995
rw_yield,2021-03-26,2022-03-25,52,10.0,bbg_bz_bond_10y,9.5395,11.9251,-2.3856,2.3856
rw_yield,2021-04-02,2021-04-30,4,1.0,bbg_bz_bond_1y,5.2329,5.3866,-0.15369999999999973,0.15369999999999973
rw_yield,2021-04-02,2021-04-30,4,3.0,bbg_bz_bond_3y,8.0614,7.7139,0.34750000000000103,0.34750000000000103
rw_yield,2021-04-02,2021-04-30,4,5.0,bbg_bz_bond_5y,8.9674,8.5942,0.37319999999999887,0.37319999999999887
rw_yield,2021-04-02,2021-04-30,4,10.0,bbg_bz_bond_10y,9.6817,9.5277,0.15399999999999991,0.15399999999999991
rw_yield,2021-04-02,2021-07-02,13,1.0,bbg_bz_bond_1y,5.2329,6.656,-1.4230999999999998,1.4230999999999998
rw_yield,2021-04-02,2021-07-02,13,3.0,bbg_bz_bond_3y,8.0614,8.1735,-0.11209999999999987,0.11209999999999987
rw_yield,2021-04-02,2021-07-02,13,5.0,bbg_bz_bond_5y,8.9674,8.7027,0.2646999999999995,0.2646999999999995
rw_yield,2021-04-02,2021-07-02,13,10.0,bbg_bz_bond_10y,9.6817,9.5135,0.1681999999999988,0.1681999999999988
rw_yield,2021-04-02,2021-10-01,26,1.0,bbg_bz_bond_1y,5.2329,8.894,-3.6611000000000002,3.6611000000000002
rw_yield,2021-04-02,2021-10-01,26,3.0,bbg_bz_bond_3y,8.0614,10.1904,-2.1289999999999996,2.1289999999999996
rw_yield,2021-04-02,2021-10-01,26,5.0,bbg_bz_bond_5y,8.9674,10.6254,-1.6580000000000013,1.6580000000000013
rw_yield,2021-04-02,2021-10-01,26,10.0,bbg_bz_bond_10y,9.6817,11.3353,-1.6536000000000008,1.6536000000000008
rw_yield,2021-04-02,2022-04-01,52,1.0,bbg_bz_bond_1y,5.2329,12.5875,-7.3546000000000005,7.3546000000000005
rw_yield,2021-04-02,2022-04-01,52,3.0,bbg_bz_bond_3y,8.0614,11.2167,-3.1552999999999987,3.1552999999999987
rw_yield,2021-04-02,2022-04-01,52,5.0,bbg_bz_bond_5y,8.9674,11.0905,-2.123100000000001,2.123100000000001
rw_yield,2021-04-02,2022-04-01,52,10.0,bbg_bz_bond_10y,9.6817,11.4445,-1.7628000000000004,1.7628000000000004
rw_yield,2021-04-09,2021-05-07,4,1.0,bbg_bz_bond_1y,5.3983,5.6921,-0.29380000000000006,0.29380000000000006
rw_yield,2021-04-09,2021-05-07,4,3.0,bbg_bz_bond_3y,8.1484,8.0569,0.09149999999999991,0.09149999999999991
rw_yield,2021-04-09,2021-05-07,4,5.0,bbg_bz_bond_5y,9.1149,8.8071,0.3078000000000003,0.3078000000000003
rw_yield,2021-04-09,2021-05-07,4,10.0,bbg_bz_bond_10y,9.9353,9.7055,0.22979999999999912,0.22979999999999912
rw_yield,2021-04-09,2021-07-09,13,1.0,bbg_bz_bond_1y,5.3983,6.9209,-1.5225999999999997,1.5225999999999997
rw_yield,2021-04-09,2021-07-09,13,3.0,bbg_bz_bond_3y,8.1484,8.3384,-0.1899999999999995,0.1899999999999995
rw_yield,2021-04-09,2021-07-09,13,5.0,bbg_bz_bond_5y,9.1149,8.8125,0.30240000000000045,0.30240000000000045
rw_yield,2021-04-09,2021-07-09,13,10.0,bbg_bz_bond_10y,9.9353,9.6164,0.3188999999999993,0.3188999999999993
rw_yield,2021-04-09,2021-10-08,26,1.0,bbg_bz_bond_1y,5.3983,8.8527,-3.4544000000000006,3.4544000000000006
rw_yield,2021-04-09,2021-10-08,26,3.0,bbg_bz_bond_3y,8.1484,10.0281,-1.8796999999999997,1.8796999999999997
rw_yield,2021-04-09,2021-10-08,26,5.0,bbg_bz_bond_5y,9.1149,10.5005,-1.3856000000000002,1.3856000000000002
rw_yield,2021-04-09,2021-10-08,26,10.0,bbg_bz_bond_10y,9.9353,11.2289,-1.2935999999999996,1.2935999999999996
