group,component,var_name_final,loading
inflacao,pc1_inflacao,bbg_us_5y_breakeven_inflation,0.054369620780803755
inflacao,pc1_inflacao,focus_ipca_current_month,0.08512725758240558
inflacao,pc1_inflacao,focus_ipca_next_12_average,0.5294000745452005
inflacao,pc1_inflacao,focus_ipca_next_12_median,0.5232668681783408
inflacao,pc1_inflacao,focus_ipca_year_0,0.08770326612995122
inflacao,pc1_inflacao,focus_ipca_year_1,0.3817941570602481
inflacao,pc1_inflacao,focus_ipca_year_2,0.3425999043943649
inflacao,pc1_inflacao,focus_ipca_year_3,0.33970558121939687
inflacao,pc1_inflacao,focus_ipca_year_4,0.22246667712980073
atividade,pc1_atividade,focus_fdi_year_0,0.0951006859998264
atividade,pc1_atividade,focus_fdi_year_1,0.21580654065237348
atividade,pc1_atividade,focus_fdi_year_2,0.17605591276777618
atividade,pc1_atividade,focus_fdi_year_3,0.16711769841663138
atividade,pc1_atividade,focus_fdi_year_4,0.09871206023373535
atividade,pc1_atividade,focus_gdp_year_0,0.07922600617107745
atividade,pc1_atividade,focus_gdp_year_1,0.2182397847343621
atividade,pc1_atividade,focus_gdp_year_2,0.20934275593453172
atividade,pc1_atividade,focus_gdp_year_3,0.11459501063865624
atividade,pc1_atividade,focus_gdp_year_4,0.04196724353312119
atividade,pc1_atividade,focus_trade_b_year_0,0.3623316904140852
atividade,pc1_atividade,focus_trade_b_year_1,0.421606170003142
atividade,pc1_atividade,focus_trade_b_year_2,0.4529044952192966
atividade,pc1_atividade,focus_trade_b_year_3,0.408747687389557
atividade,pc1_atividade,focus_trade_b_year_4,0.28611034026163873
fiscal,pc1_fiscal,focus_net_debt_year_0,0.36279797693843535
fiscal,pc1_fiscal,focus_net_debt_year_1,0.3080133368166964
fiscal,pc1_fiscal,focus_net_debt_year_2,0.2531733608213481
fiscal,pc1_fiscal,focus_net_debt_year_3,0.2003491622034594
fiscal,pc1_fiscal,focus_net_debt_year_4,0.13567749641560492
fiscal,pc1_fiscal,focus_nominal_year_0,0.1390453867382463
fiscal,pc1_fiscal,focus_nominal_year_1,0.3221632661231163
fiscal,pc1_fiscal,focus_nominal_year_2,0.26478781522540706
fiscal,pc1_fiscal,focus_nominal_year_3,0.2470576270562722
fiscal,pc1_fiscal,focus_nominal_year_4,0.1378949564654784
fiscal,pc1_fiscal,focus_primary_year_0,0.14879715039895608
fiscal,pc1_fiscal,focus_primary_year_1,0.3192034643690838
fiscal,pc1_fiscal,focus_primary_year_2,0.32637034728223663
fiscal,pc1_fiscal,focus_primary_year_3,0.32122514780715583
fiscal,pc1_fiscal,focus_primary_year_4,0.20937521869419284
risco,pc1_risco,bbg_1_month_risk_reversal_option,0.3835222091369262
risco,pc1_risco,bbg_bz_cds_10y,0.5531176083340562
risco,pc1_risco,bbg_bz_cds_5y,0.6054686781771926
risco,pc1_risco,bbg_vix,0.42471085010382015
incerteza,pc1_incerteza,bbg_bbg_surprise_growth_us,0.34907191664387244
incerteza,pc1_incerteza,bbg_bbg_surprise_inf_bz,0.13203106317034197
incerteza,pc1_incerteza,bbg_bbg_surprise_inf_us,0.07603019510815023
incerteza,pc1_incerteza,bbg_bbg_surprise_us,0.31757588476338544
incerteza,pc1_incerteza,bbg_citi_surprise_em,0.3398878675096139
incerteza,pc1_incerteza,bbg_citi_surprise_eur,0.3260788731737708
incerteza,pc1_incerteza,bbg_citi_surprise_g10,0.4227958024456182
incerteza,pc1_incerteza,bbg_citi_surprise_global,0.4410432499606871
incerteza,pc1_incerteza,bbg_citi_surprise_latam,0.21456316597492142
incerteza,pc1_incerteza,bbg_citi_surprise_us,0.33603210726363925
financeiro,pc1_financeiro,bbg_anfavea_bz,-0.2766240239662396
financeiro,pc1_financeiro,bbg_bbg_asia_fc,-0.029077224003241215
financeiro,pc1_financeiro,bbg_bbg_us_fc,-0.1588839037496176
financeiro,pc1_financeiro,bbg_citi_em_asia_fc,0.18850098303804605
financeiro,pc1_financeiro,bbg_comm,0.028572165702716663
financeiro,pc1_financeiro,bbg_energy_future,0.03187945449012287
financeiro,pc1_financeiro,bbg_fed_funds,-0.022095144723054176
financeiro,pc1_financeiro,bbg_ibov,0.039190633556277915
financeiro,pc1_financeiro,bbg_wheat,-0.03626080405217841
financeiro,pc1_financeiro,focus_ca_sd,-0.12174387636533236
financeiro,pc1_financeiro,focus_ca_year_0,0.026674392855403288
financeiro,pc1_financeiro,focus_ca_year_1,0.4467811988206682
financeiro,pc1_financeiro,focus_ca_year_2,0.4390255975773497
financeiro,pc1_financeiro,focus_ca_year_3,0.45503836903486045
financeiro,pc1_financeiro,focus_ca_year_4,0.43038279624967635
financeiro,pc1_financeiro,focus_fx_brl_year_0,-0.02409686742872777
financeiro,pc1_financeiro,focus_fx_brl_year_1,-0.11812030987807057
financeiro,pc1_financeiro,focus_fx_brl_year_2,-0.13120216294341513
financeiro,pc1_financeiro,focus_fx_brl_year_3,-0.12942915426432033
financeiro,pc1_financeiro,focus_fx_brl_year_4,-0.08569396566207951
financeiro,pc1_financeiro,focus_selic_year_0,-0.01380294006726484
financeiro,pc1_financeiro,focus_selic_year_1,-0.01210446153869704
financeiro,pc1_financeiro,focus_selic_year_2,-0.009515523724682284
financeiro,pc1_financeiro,focus_selic_year_3,-0.01519769812666152
financeiro,pc1_financeiro,focus_selic_year_4,-0.002250573302445076
