component,rank,var_name_final,corr,group
pc1_inflacao,1,focus_ipca_next_12_average,0.7948331264005019,inflacao
pc1_inflacao,2,focus_ipca_next_12_median,0.7856248247288063,inflacao
pc1_inflacao,3,focus_ipca_year_1,0.5732198730012292,inflacao
pc1_inflacao,4,focus_ipca_year_2,0.5143742251041867,inflacao
pc1_inflacao,5,focus_ipca_year_3,0.510028732822287,inflacao
pc1_atividade,1,focus_trade_b_year_2,0.8276774493708808,atividade
pc1_atividade,2,focus_trade_b_year_1,0.7704801412012106,atividade
pc1_atividade,3,focus_trade_b_year_3,0.7469814208203526,atividade
pc1_atividade,4,focus_trade_b_year_0,0.662156751619259,atividade
pc1_atividade,5,focus_trade_b_year_4,0.522863162468118,atividade
pc1_fiscal,1,focus_net_debt_year_0,0.7146752278509266,fiscal
pc1_fiscal,2,focus_primary_year_2,0.64291649108975,fiscal
pc1_fiscal,3,focus_nominal_year_1,0.6346289677927504,fiscal
pc1_fiscal,4,focus_primary_year_3,0.632780969832927,fiscal
pc1_fiscal,5,focus_primary_year_1,0.6287984584530698,fiscal
pc1_risco,1,bbg_bz_cds_5y,0.8929617237980462,risco
pc1_risco,2,bbg_bz_cds_10y,0.8157529378530225,risco
pc1_risco,3,bbg_vix,0.626375147870906,risco
pc1_risco,4,bbg_1_month_risk_reversal_option,0.565629016544303,risco
pc1_incerteza,1,bbg_citi_surprise_global,0.9709105473222144,incerteza
pc1_incerteza,2,bbg_citi_surprise_g10,0.930740701721657,incerteza
pc1_incerteza,3,bbg_bbg_surprise_growth_us,0.768445284388155,incerteza
pc1_incerteza,4,bbg_citi_surprise_em,0.7482275615857503,incerteza
pc1_incerteza,5,bbg_citi_surprise_us,0.7397395090169917,incerteza
pc1_financeiro,1,focus_ca_year_3,0.9518269156327451,financeiro
pc1_financeiro,2,focus_ca_year_1,0.934554972448043,financeiro
pc1_financeiro,3,focus_ca_year_2,0.918332186607011,financeiro
pc1_financeiro,4,focus_ca_year_4,0.9002535991955932,financeiro
pc1_financeiro,5,bbg_anfavea_bz,-0.5786285496762863,financeiro
