var_name_final,median_fit
bbg_1_month_risk_reversal_option,2.215
bbg_anfavea_bz,213339.0
bbg_bbg_asia_fc,-0.976
bbg_bbg_surprise_growth_us,-0.01252
bbg_bbg_surprise_inf_bz,-0.035390000000000005
bbg_bbg_surprise_inf_us,0.0018299999999999983
bbg_bbg_surprise_us,0.0345
bbg_bbg_us_fc,0.239
bbg_bz_cds_10y,252.083
bbg_bz_cds_5y,169.591
bbg_citi_em_asia_fc,-0.13845
bbg_citi_surprise_em,5.4
bbg_citi_surprise_eur,8.399999999999999
bbg_citi_surprise_g10,5.0
bbg_citi_surprise_global,5.8
bbg_citi_surprise_latam,3.0
bbg_citi_surprise_us,6.35
bbg_comm,0.09480000000000643
bbg_energy_future,2.699999999999932
bbg_fed_funds,0.0
bbg_ibov,233.72999999999593
bbg_us_5y_breakeven_inflation,0.05104999999999649
bbg_vix,16.509999999999998
bbg_wheat,546.625
focus_ca_sd,14.725
focus_ca_year_0,0.0
focus_ca_year_1,-39.75
focus_ca_year_2,-44.95
focus_ca_year_3,-47.9
focus_ca_year_4,-50.0
focus_fdi_year_0,0.0
focus_fdi_year_1,0.0
focus_fdi_year_2,0.0
focus_fdi_year_3,0.0
focus_fdi_year_4,0.0
focus_fx_brl_year_0,0.0
focus_fx_brl_year_1,0.0
focus_fx_brl_year_2,0.0
focus_fx_brl_year_3,0.0
focus_fx_brl_year_4,0.0
focus_gdp_sd_services,0.660054794520548
focus_gdp_year_0,2.03255
focus_gdp_year_1,0.0
focus_gdp_year_2,0.0
focus_gdp_year_3,0.0
focus_gdp_year_4,0.0
focus_ipca_current_month,0.41
focus_ipca_next_12_average,0.0
focus_ipca_next_12_median,0.0
focus_ipca_year_0,5.115
focus_ipca_year_1,0.0
focus_ipca_year_2,0.0
focus_ipca_year_3,0.0
focus_ipca_year_4,0.0
focus_net_debt_year_0,0.0
focus_net_debt_year_1,0.0
focus_net_debt_year_2,0.0
focus_net_debt_year_3,0.0
focus_net_debt_year_4,0.0
focus_nominal_year_0,0.0
focus_nominal_year_1,0.0
focus_nominal_year_2,0.0
focus_nominal_year_3,0.0
focus_nominal_year_4,0.0
focus_primary_next_12_average,4.199890410958905
focus_primary_next_12_median,4.25
focus_primary_year_0,0.0
focus_primary_year_1,0.0
focus_primary_year_2,0.0
focus_primary_year_3,0.0
focus_primary_year_4,0.0
focus_selic_year_0,0.0
focus_selic_year_1,0.0
focus_selic_year_2,0.0
focus_selic_year_3,0.0
focus_selic_year_4,0.0
focus_trade_b_year_0,0.0
focus_trade_b_year_1,0.0
focus_trade_b_year_2,0.0
focus_trade_b_year_3,0.0
focus_trade_b_year_4,0.0
