lag,row_state,col_state,coef
1,beta1_level,beta1_level,0.9006671450118446
1,beta1_level,beta2_slope,-0.055494942847947135
1,beta1_level,beta3_curvature,0.005764962336620882
1,beta2_slope,beta1_level,0.010286091367373927
1,beta2_slope,beta2_slope,0.9890082666691287
1,beta2_slope,beta3_curvature,-0.007806638878267137
1,beta3_curvature,beta1_level,0.7595955742739919
1,beta3_curvature,beta2_slope,0.8199656547737892
1,beta3_curvature,beta3_curvature,0.8828522403954971
2,beta1_level,beta1_level,-0.2408007364838789
2,beta1_level,beta2_slope,-0.2926589610297192
2,beta1_level,beta3_curvature,-0.022418744136024765
2,beta2_slope,beta1_level,0.38421068276296305
2,beta2_slope,beta2_slope,0.4218540107968373
2,beta2_slope,beta3_curvature,0.025918766121188066
2,beta3_curvature,beta1_level,0.16898960974836535
2,beta3_curvature,beta2_slope,0.24563218757055727
2,beta3_curvature,beta3_curvature,0.1501516607847243
3,beta1_level,beta1_level,0.5376623245406341
3,beta1_level,beta2_slope,0.5557341804913632
3,beta1_level,beta3_curvature,0.05505739221861418
3,beta2_slope,beta1_level,-0.46009463349437885
3,beta2_slope,beta2_slope,-0.5004698696476146
3,beta2_slope,beta3_curvature,-0.046911928462267806
3,beta3_curvature,beta1_level,-1.2226418435265303
3,beta3_curvature,beta2_slope,-1.511613732584965
3,beta3_curvature,beta3_curvature,-0.042318631632199094
4,beta1_level,beta1_level,-0.5339846260306558
4,beta1_level,beta2_slope,-0.41340376238723897
4,beta1_level,beta3_curvature,-0.038805481579634205
4,beta2_slope,beta1_level,0.5323604763710563
4,beta2_slope,beta2_slope,0.42522698689382143
4,beta2_slope,beta3_curvature,0.0424880557161183
4,beta3_curvature,beta1_level,0.22060630099694184
4,beta3_curvature,beta2_slope,0.43048601782585827
4,beta3_curvature,beta3_curvature,-0.17217645293938638
5,beta1_level,beta1_level,0.31511058989670315
5,beta1_level,beta2_slope,0.2344961860359208
5,beta1_level,beta3_curvature,0.012422160388155384
5,beta2_slope,beta1_level,-0.4367613291036191
5,beta2_slope,beta2_slope,-0.36390250679096325
5,beta2_slope,beta3_curvature,-0.018980620411549527
5,beta3_curvature,beta1_level,-0.00827842332708456
5,beta3_curvature,beta2_slope,-0.02438377697340746
5,beta3_curvature,beta3_curvature,0.11010496526005478
