regressor,beta1_level,beta2_slope,beta3_curvature
intercept,0.21422640914155103,-0.3412517168143927,1.118276847886939
lag1_beta1_level,0.9006671450118446,0.010286091367373927,0.7595955742739919
lag1_beta2_slope,-0.055494942847947135,0.9890082666691287,0.8199656547737892
lag1_beta3_curvature,0.005764962336620882,-0.007806638878267137,0.8828522403954971
lag2_beta1_level,-0.2408007364838789,0.38421068276296305,0.16898960974836535
lag2_beta2_slope,-0.2926589610297192,0.4218540107968373,0.24563218757055727
lag2_beta3_curvature,-0.022418744136024765,0.025918766121188066,0.1501516607847243
lag3_beta1_level,0.5376623245406341,-0.46009463349437885,-1.2226418435265303
lag3_beta2_slope,0.5557341804913632,-0.5004698696476146,-1.511613732584965
lag3_beta3_curvature,0.05505739221861418,-0.046911928462267806,-0.042318631632199094
lag4_beta1_level,-0.5339846260306558,0.5323604763710563,0.22060630099694184
lag4_beta2_slope,-0.41340376238723897,0.42522698689382143,0.43048601782585827
lag4_beta3_curvature,-0.038805481579634205,0.0424880557161183,-0.17217645293938638
lag5_beta1_level,0.31511058989670315,-0.4367613291036191,-0.00827842332708456
lag5_beta2_slope,0.2344961860359208,-0.36390250679096325,-0.02438377697340746
lag5_beta3_curvature,0.012422160388155384,-0.018980620411549527,0.11010496526005478
