model_id,origin_week_ref,lag_order_p,n_obs_train,aic_train,is_stable,max_abs_eig,ljungbox_min_pvalue,resid_autocorr_flag
dl,2021-03-19,5,595,-3.2604778620462977,True,0.996349430053535,0.2577596188921173,False
dl,2021-03-26,5,596,-3.2599443606175953,True,0.9961650688749343,0.26019279281850854,False
dl,2021-04-02,5,597,-3.2620496225726408,True,0.996595870936046,0.2572663268218425,False
dl,2021-04-09,5,598,-3.2646386776420613,True,0.9964486508811797,0.2569859856591649,False
dl,2021-04-16,5,599,-3.266352333784818,True,0.9967083411871588,0.26061876835615794,False
dl,2021-04-23,5,600,-3.2690542737681794,True,0.9967708363404099,0.2558985219658941,False
dl,2021-04-30,5,601,-3.2739148685446926,True,0.9966422260396667,0.25453830568361774,False
dl,2021-05-07,5,602,-3.274540723632734,True,0.9961720901281931,0.253610153402578,False
dl,2021-05-14,5,603,-3.278838750096063,True,0.9959551384136248,0.25239402971435837,False
dl,2021-05-21,5,604,-3.2814140676830017,True,0.9960354483380384,0.2490300189039508,False
dl,2021-05-28,5,605,-3.278721863443399,True,0.996156266274107,0.22302854296365446,False
dl,2021-06-04,5,606,-3.2812263676030913,True,0.9961208443822893,0.21705675509764857,False
dl,2021-06-11,5,607,-3.282416462073467,True,0.9958368338982804,0.21581100951815396,False
dl,2021-06-18,5,608,-3.281439885473983,True,0.9954575832195639,0.21001651858111978,False
dl,2021-06-25,5,609,-3.2762766700593313,True,0.9955341027482748,0.199347273382201,False
dl,2021-07-02,5,610,-3.2783796467263837,True,0.9957671579580774,0.19502257937617745,False
dl,2021-07-09,5,611,-3.2803094920705242,True,0.9955539242522837,0.19185430674911516,False
dl,2021-07-16,5,612,-3.284925328723678,True,0.995608068925075,0.18942142935341746,False
dl,2021-07-23,5,613,-3.2876326916348724,True,0.9954847869336608,0.19587220052707033,False
dl,2021-07-30,5,614,-3.2870041462339263,True,0.9952666832632783,0.19707973283321345,False
dl,2021-08-06,5,615,-3.287460449468187,True,0.9950949694829039,0.1914009773470737,False
dl,2021-08-13,5,616,-3.2898916154084783,True,0.9950480414749059,0.19042753152772565,False
dl,2021-08-20,5,617,-3.2918711595616172,True,0.9950710079618826,0.1968925088992955,False
dl,2021-08-27,5,618,-3.291348619910477,True,0.9950306163622208,0.19206123500542746,False
dl,2021-09-03,5,619,-3.2886961368657976,True,0.9949665517970137,0.217081839010267,False
dl,2021-09-10,5,620,-3.2682621838445627,True,0.9947890015344717,0.24813095195151802,False
dl,2021-09-17,5,621,-3.272193057879735,True,0.9948596381118573,0.24680974056047827,False
dl,2021-09-24,5,622,-3.2761029888066213,True,0.9949058879257349,0.24209872035687352,False
dl,2021-10-01,5,623,-3.280475343003698,True,0.9948790443333176,0.2426253843578655,False
dl,2021-10-08,5,624,-3.2844349290176065,True,0.9949419994781735,0.2568522207311497,False
dl,2021-10-15,5,625,-3.2844550774554953,True,0.9949073135754701,0.25747408092510676,False
dl,2021-10-22,5,626,-3.174041888806385,True,0.9945495186693627,0.25673139567936487,False
dl,2021-10-29,5,627,-3.0918894746129704,True,0.994079096110996,0.2228815892565005,False
dl,2021-11-05,5,628,-3.0807200992223978,True,0.9944191386295534,0.2565417143602078,False
dl,2021-11-12,5,629,-3.076143602668489,True,0.9946836676278188,0.2643704476888308,False
dl,2021-11-19,5,630,-3.076269698008368,True,0.994762087029449,0.2573372039870538,False
dl,2021-11-26,5,631,-3.075863226716567,True,0.9947235036054702,0.26498301527693296,False
dl,2021-12-03,5,632,-3.060399951874915,True,0.9942273768419072,0.24913322346637334,False
dl,2021-12-10,5,633,-3.037168515823228,True,0.9943479263448378,0.22450474181532543,False
