lag,row_state,col_state,coef
1,beta1_level,beta1_level,1.1540949547569348
1,beta1_level,beta2_slope,0.15161165211792527
1,beta1_level,beta3_curvature,0.06766790529932949
1,beta1_level,pc_all_1,0.0761804349922136
1,beta1_level,pc_all_2,-0.18264056925074185
1,beta1_level,pc_all_3,-0.16642251649309084
1,beta1_level,pc_all_4,-0.1466811211030881
1,beta1_level,pc_all_5,-0.14028455723541236
1,beta1_level,bbg_selic,-0.23311807205773075
1,beta2_slope,beta1_level,-0.23196203735434062
1,beta2_slope,beta2_slope,0.762862164516721
1,beta2_slope,beta3_curvature,-0.06037282723692985
1,beta2_slope,pc_all_1,-0.053309206252593076
1,beta2_slope,pc_all_2,0.19570820717300474
1,beta2_slope,pc_all_3,0.10608122415265146
1,beta2_slope,pc_all_4,0.10854759957809296
1,beta2_slope,pc_all_5,0.13072377332768398
1,beta2_slope,bbg_selic,0.21034589802575723
1,beta3_curvature,beta1_level,0.2525438941280008
1,beta3_curvature,beta2_slope,0.4114886368484373
1,beta3_curvature,beta3_curvature,0.7528649726346173
1,beta3_curvature,pc_all_1,-0.16034989496210061
1,beta3_curvature,pc_all_2,0.222355939419848
1,beta3_curvature,pc_all_3,0.36725603913078847
1,beta3_curvature,pc_all_4,0.2763307796231087
1,beta3_curvature,pc_all_5,0.2753842773033158
1,beta3_curvature,bbg_selic,0.5359404034862028
1,pc_all_1,beta1_level,-1.1373273843895526
1,pc_all_1,beta2_slope,-0.6743932297337073
1,pc_all_1,beta3_curvature,-0.20837751822346864
1,pc_all_1,pc_all_1,0.17176150099195453
1,pc_all_1,pc_all_2,0.3336473343255556
1,pc_all_1,pc_all_3,0.1216628955380651
1,pc_all_1,pc_all_4,-0.04821934952481515
1,pc_all_1,pc_all_5,-0.08946773189717674
1,pc_all_1,bbg_selic,-0.03206443959282747
1,pc_all_2,beta1_level,0.7263145990898007
1,pc_all_2,beta2_slope,0.5025630758915669
1,pc_all_2,beta3_curvature,0.07310372327729782
1,pc_all_2,pc_all_1,0.3513107095787865
1,pc_all_2,pc_all_2,0.39625612908945484
1,pc_all_2,pc_all_3,0.02847155052447094
1,pc_all_2,pc_all_4,-0.19668983652016847
1,pc_all_2,pc_all_5,0.03370789451772451
1,pc_all_2,bbg_selic,-0.276994249210141
1,pc_all_3,beta1_level,-0.2937074295025796
1,pc_all_3,beta2_slope,-0.24012142888888555
1,pc_all_3,beta3_curvature,-0.017834340614856992
1,pc_all_3,pc_all_1,0.08099341017961317
1,pc_all_3,pc_all_2,0.04961767201109554
1,pc_all_3,pc_all_3,0.7320524383499729
1,pc_all_3,pc_all_4,0.13369272882309044
1,pc_all_3,pc_all_5,0.18556834247800127
1,pc_all_3,bbg_selic,0.10770624391919933
1,pc_all_4,beta1_level,-0.06568996286864283
1,pc_all_4,beta2_slope,0.029838742056640742
1,pc_all_4,beta3_curvature,-0.08331704319525986
1,pc_all_4,pc_all_1,-0.24929797013114627
1,pc_all_4,pc_all_2,-0.20499400451519803
1,pc_all_4,pc_all_3,0.23463282075600927
1,pc_all_4,pc_all_4,0.41212355176737425
1,pc_all_4,pc_all_5,-0.12164048120176255
1,pc_all_4,bbg_selic,-0.24335197038766407
1,pc_all_5,beta1_level,1.3401246046104074
1,pc_all_5,beta2_slope,0.9047651864990399
1,pc_all_5,beta3_curvature,0.21637289500822443
1,pc_all_5,pc_all_1,0.013179383014405785
1,pc_all_5,pc_all_2,-0.021076735732466156
1,pc_all_5,pc_all_3,0.1595280208946193
1,pc_all_5,pc_all_4,-0.011784272494019206
1,pc_all_5,pc_all_5,0.3073294598012472
1,pc_all_5,bbg_selic,0.2720451675324672
1,bbg_selic,beta1_level,-0.003976493474147524
1,bbg_selic,beta2_slope,0.015749490837884798
1,bbg_selic,beta3_curvature,-0.004895827989721971
1,bbg_selic,pc_all_1,-0.003985495688137518
1,bbg_selic,pc_all_2,0.0032657635304049995
1,bbg_selic,pc_all_3,0.012277276321957614
1,bbg_selic,pc_all_4,0.0058902166877763465
1,bbg_selic,pc_all_5,0.0047047669358777815
1,bbg_selic,bbg_selic,0.7906513288117897
2,beta1_level,beta1_level,-0.1863134507819035
2,beta1_level,beta2_slope,-0.2862344915839595
2,beta1_level,beta3_curvature,-0.020291430196180772
2,beta1_level,pc_all_1,0.041085952523014065
2,beta1_level,pc_all_2,-0.0002664563868564701
2,beta1_level,pc_all_3,0.01865249005125417
2,beta1_level,pc_all_4,0.0030105499826461836
2,beta1_level,pc_all_5,0.017351710400583153
2,beta1_level,bbg_selic,0.40840889515277184
2,beta2_slope,beta1_level,0.2316328053843794
2,beta2_slope,beta2_slope,0.35605206869733275
2,beta2_slope,beta3_curvature,0.013259703715434914
2,beta2_slope,pc_all_1,-0.05214169767965694
2,beta2_slope,pc_all_2,-0.0013292071348948728
2,beta2_slope,pc_all_3,0.01247007482505513
2,beta2_slope,pc_all_4,0.013591419698223002
2,beta2_slope,pc_all_5,-0.0016601143214915095
2,beta2_slope,bbg_selic,-0.34536440302178
2,beta3_curvature,beta1_level,0.10744694633224974
2,beta3_curvature,beta2_slope,0.30271378559440565
2,beta3_curvature,beta3_curvature,0.13388387215142936
2,beta3_curvature,pc_all_1,-0.03979625620934558
2,beta3_curvature,pc_all_2,0.052095844262539895
2,beta3_curvature,pc_all_3,-0.019357130716885433
2,beta3_curvature,pc_all_4,0.010339578499000787
2,beta3_curvature,pc_all_5,-0.06694680908019651
2,beta3_curvature,bbg_selic,-0.9837114631932242
2,pc_all_1,beta1_level,2.140515605833242
2,pc_all_1,beta2_slope,1.6818312975829948
2,pc_all_1,beta3_curvature,0.21948444760043626
2,pc_all_1,pc_all_1,0.20838125597346063
2,pc_all_1,pc_all_2,0.23364506412641212
2,pc_all_1,pc_all_3,-0.25476827364698496
2,pc_all_1,pc_all_4,-0.2188599209830073
2,pc_all_1,pc_all_5,-0.22473572599177688
2,pc_all_1,bbg_selic,-0.1427249806721185
2,pc_all_2,beta1_level,-0.8504928720273351
2,pc_all_2,beta2_slope,-0.7469899932448444
2,pc_all_2,beta3_curvature,-0.06053184646406011
2,pc_all_2,pc_all_1,0.13946897349810977
2,pc_all_2,pc_all_2,0.20072923300042667
2,pc_all_2,pc_all_3,0.08159725499701333
2,pc_all_2,pc_all_4,-0.04507770215256143
2,pc_all_2,pc_all_5,0.09163223123092612
2,pc_all_2,bbg_selic,0.2904854873638938
2,pc_all_3,beta1_level,0.20633989966376312
2,pc_all_3,beta2_slope,0.09679999190246495
2,pc_all_3,beta3_curvature,0.050405851880449055
2,pc_all_3,pc_all_1,-0.017891026961628243
2,pc_all_3,pc_all_2,-0.049598087911895544
2,pc_all_3,pc_all_3,-0.0069833698044539875
2,pc_all_3,pc_all_4,-0.008343456510667778
2,pc_all_3,pc_all_5,0.0023344668921414027
2,pc_all_3,bbg_selic,-0.12307530017359809
2,pc_all_4,beta1_level,0.7492590811753108
2,pc_all_4,beta2_slope,0.6314536251732878
2,pc_all_4,beta3_curvature,0.030442127438758116
2,pc_all_4,pc_all_1,0.05366260098072238
2,pc_all_4,pc_all_2,0.11488089960363615
2,pc_all_4,pc_all_3,0.049777866993618976
2,pc_all_4,pc_all_4,0.04261100878585713
2,pc_all_4,pc_all_5,-0.12013907960543616
2,pc_all_4,bbg_selic,0.03085214713638782
2,pc_all_5,beta1_level,-1.4931278124245395
2,pc_all_5,beta2_slope,-1.0679454591476245
2,pc_all_5,beta3_curvature,-0.15145440180610878
2,pc_all_5,pc_all_1,0.0007569891384799797
2,pc_all_5,pc_all_2,0.013659255797828338
2,pc_all_5,pc_all_3,0.3327184172753319
2,pc_all_5,pc_all_4,0.07458816373305463
2,pc_all_5,pc_all_5,0.27237742809344295
2,pc_all_5,bbg_selic,0.22590468319551035
2,bbg_selic,beta1_level,-0.008994489418574569
2,bbg_selic,beta2_slope,0.009190253389202293
2,bbg_selic,beta3_curvature,-0.012471989988573481
2,bbg_selic,pc_all_1,0.0016430543986602425
2,bbg_selic,pc_all_2,-0.004704963876958583
2,bbg_selic,pc_all_3,-0.014407574260475864
2,bbg_selic,pc_all_4,-0.007355352275934334
2,bbg_selic,pc_all_5,0.000780450405216615
2,bbg_selic,bbg_selic,-0.01690583042654037
3,beta1_level,beta1_level,0.05420686042521383
3,beta1_level,beta2_slope,0.22073919244800788
3,beta1_level,beta3_curvature,-0.025632048750942826
3,beta1_level,pc_all_1,0.053942044189792655
3,beta1_level,pc_all_2,0.026897840933663594
3,beta1_level,pc_all_3,0.14185136990412925
3,beta1_level,pc_all_4,0.029301067663607055
3,beta1_level,pc_all_5,0.04002445294922857
3,beta1_level,bbg_selic,-0.22376516964985016
3,beta2_slope,beta1_level,0.03365259499093182
3,beta2_slope,beta2_slope,-0.157220856928785
3,beta2_slope,beta3_curvature,0.032019796320221366
3,beta2_slope,pc_all_1,-0.05480680039991567
3,beta2_slope,pc_all_2,-0.0382151971456512
3,beta2_slope,pc_all_3,-0.12059299253828007
3,beta2_slope,pc_all_4,-0.021324189778586966
3,beta2_slope,pc_all_5,-0.04537178097026287
3,beta2_slope,bbg_selic,0.1301411664680989
3,beta3_curvature,beta1_level,-0.5853221414671961
3,beta3_curvature,beta2_slope,-0.9363176624650976
3,beta3_curvature,beta3_curvature,0.032253493714909154
3,beta3_curvature,pc_all_1,-0.06400436878722145
3,beta3_curvature,pc_all_2,0.005200758735346287
3,beta3_curvature,pc_all_3,-0.3543633491833694
3,beta3_curvature,pc_all_4,-0.14539135717288496
3,beta3_curvature,pc_all_5,-0.07604526604892334
3,beta3_curvature,bbg_selic,0.6293070789647524
3,pc_all_1,beta1_level,-1.1884878040299158
3,pc_all_1,beta2_slope,-1.1468717442700396
3,pc_all_1,beta3_curvature,-0.002055449916969626
3,pc_all_1,pc_all_1,-0.025130187768217318
3,pc_all_1,pc_all_2,-0.004926563711387005
3,pc_all_1,pc_all_3,0.29105846168780625
3,pc_all_1,pc_all_4,0.13355382526208925
3,pc_all_1,pc_all_5,0.06157020870900451
3,pc_all_1,bbg_selic,0.3486843891383907
3,pc_all_2,beta1_level,0.30932571422878763
3,pc_all_2,beta2_slope,0.3801122237349382
3,pc_all_2,beta3_curvature,-0.007165482109101701
3,pc_all_2,pc_all_1,-0.05957211466309237
3,pc_all_2,pc_all_2,-0.05450969573442896
3,pc_all_2,pc_all_3,-0.1914671601045228
3,pc_all_2,pc_all_4,0.030611555288505295
3,pc_all_2,pc_all_5,0.00352036709042317
3,pc_all_2,bbg_selic,-0.19186188061925907
3,pc_all_3,beta1_level,0.07344382888219826
3,pc_all_3,beta2_slope,0.10097314492332754
3,pc_all_3,beta3_curvature,-0.04297597982235525
3,pc_all_3,pc_all_1,-0.024428101485586707
3,pc_all_3,pc_all_2,-0.07530460860898097
3,pc_all_3,pc_all_3,0.2220741000061879
3,pc_all_3,pc_all_4,0.09134996500472373
3,pc_all_3,pc_all_5,0.037049276453452115
3,pc_all_3,bbg_selic,0.03683501824931244
3,pc_all_4,beta1_level,-0.6694290260456999
3,pc_all_4,beta2_slope,-0.5975979915627044
3,pc_all_4,beta3_curvature,0.06869384697562589
3,pc_all_4,pc_all_1,0.1013203723200975
3,pc_all_4,pc_all_2,0.20551486060787777
3,pc_all_4,pc_all_3,-0.241215726065319
