row_state,col_state,sigma_u
beta1_level,beta1_level,0.7618797830913447
beta1_level,beta2_slope,-0.7285652131506161
beta1_level,beta3_curvature,-1.4626816826310882
beta1_level,pc1_inflacao,0.030053908572652027
beta1_level,pc1_atividade,-0.07688276242379148
beta1_level,pc1_fiscal,-0.10556996782766871
beta1_level,bbg_selic,-0.004786973226880516
beta2_slope,beta1_level,-0.7285652131506161
beta2_slope,beta2_slope,0.740334094274574
beta2_slope,beta3_curvature,1.3155968636116548
beta2_slope,pc1_inflacao,-0.02877832205571881
beta2_slope,pc1_atividade,0.04353288492874723
beta2_slope,pc1_fiscal,0.08041959273900498
beta2_slope,bbg_selic,0.010263670764251394
beta3_curvature,beta1_level,-1.4626816826310882
beta3_curvature,beta2_slope,1.3155968636116548
beta3_curvature,beta3_curvature,3.911830711893757
beta3_curvature,pc1_inflacao,0.06513182507618097
beta3_curvature,pc1_atividade,0.18870505655041703
beta3_curvature,pc1_fiscal,0.15197333200543722
beta3_curvature,bbg_selic,0.00026560638485394704
pc1_inflacao,beta1_level,0.030053908572652027
pc1_inflacao,beta2_slope,-0.02877832205571881
pc1_inflacao,beta3_curvature,0.06513182507618097
pc1_inflacao,pc1_inflacao,1.634440970738695
pc1_inflacao,pc1_atividade,-0.9906128765014733
pc1_inflacao,pc1_fiscal,-0.5850342073968643
pc1_inflacao,bbg_selic,0.003230424319733386
pc1_atividade,beta1_level,-0.07688276242379148
pc1_atividade,beta2_slope,0.04353288492874723
pc1_atividade,beta3_curvature,0.18870505655041703
pc1_atividade,pc1_inflacao,-0.9906128765014733
pc1_atividade,pc1_atividade,4.086727639014824
pc1_atividade,pc1_fiscal,2.0040478765070042
pc1_atividade,bbg_selic,0.006324322506117927
pc1_fiscal,beta1_level,-0.10556996782766871
pc1_fiscal,beta2_slope,0.08041959273900498
pc1_fiscal,beta3_curvature,0.15197333200543722
pc1_fiscal,pc1_inflacao,-0.5850342073968643
pc1_fiscal,pc1_atividade,2.0040478765070042
pc1_fiscal,pc1_fiscal,4.621615724406705
pc1_fiscal,bbg_selic,0.004850744830397071
bbg_selic,beta1_level,-0.004786973226880516
bbg_selic,beta2_slope,0.010263670764251394
bbg_selic,beta3_curvature,0.00026560638485394704
bbg_selic,pc1_inflacao,0.003230424319733386
bbg_selic,pc1_atividade,0.006324322506117927
bbg_selic,pc1_fiscal,0.004850744830397071
bbg_selic,bbg_selic,0.023733979627581312
